text,label
"Wo o, iwọ sa gbọn ju Danieli lọ; kò si si ohun ikọ̀kọ ti o le fi ara sin fun ọ. 4 Ọgbọ́n rẹ ati oye rẹ li o fi ni ọrọ̀, o si ti ni wura ati fadáka sinu iṣura rẹ: 5 Nipa ọgbọ́n rẹ nla ati nipa òwo rẹ li o ti fi sọ ọrọ̀ rẹ di púpọ, ọkàn rẹ si gbe soke nitori ọrọ̀ rẹ. 6 Nitorina bayi li Oluwa Ọlọrun wi; Nitoriti o ti ṣe ọkàn rẹ bi ọkàn Ọlọrun; 7 Kiyesi i, nitorina emi o mu alejo wá ba ọ, ẹlẹ̀ru ninu awọn orilẹ-ède: nwọn o si fà idà wọn yọ si ẹwà ọgbọ́n rẹ, nwọn o si bà didán rẹ jẹ. 8 Nwọn o mu ọ sọkalẹ wá sinu ihò, iwọ o si kú ikú awọn ti a pa li ãrin okun. 9 Iwọ ha le sọ sibẹ niwaju ẹni ti npa ọ, pe, Emi li Ọlọrun? ṣugbọn enia ni iwọ, o kì yio si jẹ Ọlọrun, lọwọ ẹniti npa ọ. 10 Iwọ o kú ikú awọn alaikọlà lọwọ awọn alejo:",0
"Aṣofin kan ni ipinlẹ Eko, Họnọrebu Sobur Ọlayiwọla Ọlawale ti jade laye. Họnọrebu Ọlawale ti ọpọ mọ si Omititi, n ṣoju fun ẹkun Mushi keji ku ni ilu Jos lọjọ Iṣẹgun. Atẹjade kan ti agbẹnusọ fun ile igbimọ aṣofin ipinlẹ Eko fi sita fi idi iku rẹ mulẹ",1
Eyin iya mi e wa gbamila,1
"Àwọn onínàbì náà ti gbà pè ìlú le, kò sówó lóde, ẹ wo ohun tí wọn ń gbà fún ìbálòpọ̀ báyìí:",1
 Ika ti o ba si n dun ni a ki i fibo abe aso. ,0
"Baba agba ni pe won fe je obi, mo fe bawon lo ra loja",0
Ṣugbọn ti obinrin ba wa fi agidi mu ọkunrin lati ba a lo pọ nkọ?,1
"Awon ojogbon so wipe bibalopo latehin ,to ba je wipe si oju Ara o Dara sugbon lati oju iho idi (anus) o lewu pupo o Irorun igi nirorun eye o. Ki abede ma baa di abepe mowa lowo. Olorun a ko wa moo se o Amin. Ire o.",0
Akoni lo Agba osere onitiata lo Fadeyi Oloro rewale asa. 😓😓😓😓  Gbogbo egbe osere onitiata n sedaro re ooo #RIP #ActorandActress n sedaro re.,1
Awon Olugbe Abeokuta Pe Fun Idasile Awon Ile ìgbọ̀nsẹ̀ Igbalode,1
awon baba aye ni yen,1
Akeredolu sin APC ni gbere ipako,1
O fe fowo sabe mi ,1
"'Mò ń ta ilé ọmọ mi, mo tún ń fi ẹyin ilé ọmọ hááyà, eͅ wá rà á láti bímọ''",1
"O kere tan, eeyan meji lo ti rọrun aremabọ, nigba ti ọpọlọpọ fara pa yanna-yanna lasiko ti awọn tọọgi kan atawọn eeyan agbegbe Sabo, niluu Ẹdẹ, nipinlẹ Ọṣun, kọju ija sira wọn. Gẹgẹ bi Alaroye ṣe gbọ, ọjọ Aje, Mọnde, ọsẹ yii, ni wahala naa bẹrẹ nigba ti awọn Hausa naa pajuda si awọn tọọgi ti wọn ti n fi ọpọ ọjọ sẹyin gba owo lọwọ wọn.",1
"Arẹmọ Phillip to jẹ ọkọ Ọbabinrin Elizabeth to ti wa lori aisan ti dagbere faye lẹni ọdun mọkandilọgọrun, gẹgẹ bi aafin Buckingham ṣe kede. Aafin Buckingham sọ pe: ""Pẹlu ọkan ibanujẹ ni Ọbabinrin fi kede iku ọkọ rẹ, Ọlọlajulọ Phillip to jẹ Duke ti Edinburgh.",1
Oba so fun oluso pe awon fe reju fun gba die ki enikeni ma kan ilekun yara won,0
Mo fe sare lo se gaa ni ekunle,1
"‘‘Arakunrin wa, Tinubu, o n ja fun ara rẹ, nigba ti awọn mọlẹbi rẹ n ṣegbe. Ina nla lo wa lori orule wa bayii gẹgẹ bii orileede. O jẹ ohun ti ko ṣee gbagbọ pe ẹni kan gẹgẹ bii ọmọ Yoruba yoo ṣe ohun ti o n ṣe yii fun iran Yoruba lapapọ. Fidio ifọrọwerọ ti mo ṣe pẹlu iweeroyin ALAROYE ninu ọgba Ọbafẹmi Awolọwọ Yunifasiti ni bii ọdun meji sẹyin lo n gbe kiri. Wọn beere lọwọ mi pe ti ko ba si ijangbara kankan lori ọrọ ominira fun ilẹ Yoruba, ta ni mo le fa kalẹ lati ṣe aarẹ ilẹNaijiria. Mo si sọ fun wọn pe ti ko ba si pe a n jijagbara, mo le fa Tinubu kalẹ lai ro o lẹẹmeji, iyẹn to ba jẹ pe ohun gbogbo ri bo ṣe yẹ ko ri nigba naa, ṣugbọn gbogbo nnkan ko ri bo ṣe yẹ ko ri lasiko yii. Mi o fọwọ si ọmọ Yoruba kankan, boya Tinubu tabi ẹnikẹni fun ipo oṣelu kankan ni asiko yii rara ni Naijiria. Mo duro digbi, lai yẹsẹ, lai boju wẹyin fun ijangbara awa ọmọ Yoruba, iyẹn lati ni orileede tiwa ti i ṣe Yoruba Nation. ‘‘Otitọ to wa ninu ọrọ yii ree o, Tinubu, mi o fẹ ki o tan ara rẹ jẹ, mi o si fẹ ki o tan awọn eeyan wa jẹ. O ro pe o le maa gbe iru fidio yii kiri ko o maa fi tan awọn eeyan wa, awọn eeyan wa ti gbọn ju bayii lọ. Gbogbo agbaye lo n wo ọ. Itan yoo si ṣe idajọ rẹ pe lasiko ti a nilo lati dide duro lati gbeja awọn eeyan wa ni o n ba ọrọ ti ara rẹ nikan kiri. Ọrọ ti ara rẹ nikan to wa fun ifẹkufẹẹ ara rẹ funra rẹ lo n gbe wa siwaju wa, o n beere pe ka dibo fun ọ. Awa ko ni i dibo fun ọ o. Boya fun ipo aarẹ ni, ileegbimọ aṣofin agba ni tabi ileegbimọ aṣoju-ṣofin, awa ko ni i dibo fun ọ, nitori awa yoo ti mu orileede wa kuro lara Naijiria lasiko yẹn. Nidii eyii, a n gba ọ niyanju pe ki o pada sọdọ awọn eeyan rẹ. Emi gẹgẹ bii ẹni kan n gba ọ niyanju pe ki o pada sọdọ awọn eeyan rẹ, ki o si fọ ọkan rẹ mọ, nitori o n ṣe awọn ohun ti yoo ṣoro lati dariji ọ. ‘‘Tinubu, o n ba ọjọ ọla ilẹ Yoruba jẹ. O n ṣe agbekalẹ ogun fun ara rẹ, eyi ti yoo jẹ itiju fun awọn ọmọọmọ rẹ lati mọ lọjọ iwaju. A n pe ọ pe ki o pada wale. Anfaani wa fun ọ nisinsinyii lati gba ara rẹ ati ọjọ iwaju rẹ kalẹ. A ti ni ipinnu lati gba orileede wa. Digbi digbi ni mo si wa lẹyin awọn ọdọ to n sare kaakiri lati gba orileede wọn. Loootọ o le sọ pe wọn n ba ara wọn ja, eyi ko jẹ tuntun, bawọn ọdọ ṣe maa n ṣe kaakiri orileede agbaye niyi. Eleyii ko si sọ pe wọn ko fẹ orileede wọn, wọn fẹ orileede wọn. Ọlọrun Oluwa to da gbogbo orileede si ti fun wọn ni orileede naa, laipẹ lai jinna, Ọlọrun yoo si fi orileede wọn le wọn lọwọ. Yoo waa jẹ ojuṣe wọn lẹyin eyi lati jokoo, ki wọn si bẹrẹ eto ijọba ti Yoruba  maa n ṣe fun awọn eeyan rẹ lati ipilẹṣẹ wa, ijọba to ni erongba lati mu igbe aye rere ba awọn eeyan orileede rẹ.’’",0
Manchester United Lule lowo Liverpool pelu ami ayo meje si odo Oloju eja! Shi ooo Oloju eja!.. 🤣🤣🤣,1
Iyawo Kehinde ti di alabara meji,1
Ja Ewe Ako Ibepe fun ko de ba mi diimu ,0
"ma beru o, ma lo ma fo",0
Òní Iya Ibadan ń ṣe ọjọ́ ìbí. Iya Ibadan àti tá ni ẹ fẹ́ máa rí pọ̀ nínú eré?,0
Onisekuse ni gbogbo yin,1
"Ba a ṣe gbọ, o ti pẹ tawọn ọtẹlẹmuyẹ ti n finmu finlẹ nipa awọn firi-nidii-ọkẹ, alọ-kolohun-kigbe ẹda wọnyi, ti wọn si ti sami sawọn ibuba wọn gbogbo lagbegbe naa, ki wọn too lọ ya bo wọn ni nnkan bii aago meji aabọ oru ọjọ kẹrinla, oṣu yii, nigba tọwọ ti pa, tẹsẹ ti pa.",1
Ilé ìgbìmò aṣofin Niger bẹ̀rẹ̀ ìgbésẹ̀ láti fòfin dé ìbálòpọ̀ láàárín akọ sí akọ.,1
"Awọn eroja kokoro miran ti awọn eniyan ma n jẹ ni alangba, alantakun, akekee, labalaba ati bẹẹ bẹẹ lọ",0
Lara awoͅn ohun ti woͅn ma n koͅ si ori eͅroͅ ayelujara ni; ‘mo n fi ile oͅmoͅ mi sͅowo fun eͅni to ba feͅ ra.’,1
"Nnkan oṣu obìnrin jẹ ìrora kan tí awọn obinrin maa n dojukọ losoosu, amọ to si jẹ pe eewọ ni eyi lawọn apa ibi kan lorilẹede India.",1
Ọwọ Ọlọ́pàá tẹ Oníṣègùn tó fipá bá òníbárà rẹ́ sún,1
"Ekasan gbogbo ile, molayo latiso fun ile pe, eniti obani nilo agbo Jedi, agunmu ale, nkan OSU tiko wa Dede abi tio duro, agbo infection tabi arun ibalopo, tabi obi obirin tio ni idaduro, kio kan simi pelu ase Olohun yio di ohun igbagbe. Aya wa onidi aya alaya oo Amin. ",1
"Ninu alaye ti agbefọba ṣe lati fidi ẹsun rẹ mulẹ, Inpẹkitọ Felicia Okwori ni kamẹra to n ṣofofo awọn alafọwọra bii ti Godwin yii wa ninu ileetaja ọhun, amọ ibi kọlọfin kan tawọn eeyan o le tete fura si ni wọn fi i si, kamẹra ọhun lo si jẹ ki wọn mọ pe ẹni yii lo ji Bibeli ti wọn ti n wa ọhun, wọn lo kọkọ ji Bibeli meji ti owo rẹ jẹ ẹgbẹrun mọkanlelaaadọta ati ọgọrin Naira lọjọ kẹrin oṣu kejila ọdun to kọja.",1
"Asiko iwọde naa lawọn janduku kan fọ ọgba ẹwọn naa, oun si wa lara awọn ẹlẹwọn to jakun, loun ba sa wa sipinlẹ Ogun, ṣugbọn oun ko rikan ṣekan ju ole jija lọ, oun ati awọn ọrẹ oun kan lawọn jọ n ji waya ina ka, tawọn si n ta a lati rowo jẹun, idi gbewiri ọhun lọwọ ti tẹ oun yii.",1
"Kooro-ko Dia fun Abogunde obegi Agbe baba awon isona Eyi ti nlo s’oko alero l’odun Ebo ni won ni ko waa se O gb’ebo, o ru’bo Abogunde e ma ge oriri Kooroko  Aje nbe loriri KoorokobAbogunde e ma ge oriri Kooroko Aya nbe loriri kooroko Abogunde e ma ge oriri Kooroko Omo nbe loriri kooroko Abogunde e ma ge oriri Kooroko Ile nbe loriri kooroko Abogunde e ma ge oriri Kooroko Ire gbogbo nbe loriri Kooroko",1
"Arakurin Ahmadu Tito, Akowe agba fun ijoba so wipe: Awon Musulumi n ko ipa topo ninu Ilu beeni ajosepo won pelu ijoba Togo mu ina doko. ",0
ma ma ti owo e benu,0
Lawon agbegbe yii ilekiko pelu ile ìgbọ̀nsẹ̀ ni won fee ri bii fifi ara eni han bi eni totirise ati oju lila.,1
Fo abia ati abe e,1
Itumọ abọbaku ni ẹni ti yoo ba ọba ku nigba ti ọba ba waja.,1
Pupo ninu àwo̩n o̩mo̩ ayeisin yii ni ma n’dibo̩ fún ènìyàn,1
Ise oluko ni baba mi n se,0
"Ọjọ Isẹgun, ọjọ kẹtala osu Kejila ọdun 2022 ni Yemi Adegunju jade laye, ti ọpọ awọn osere tiata lede Yoruba si ti n se idaro rẹ, paapaa lawọn oju opo ayelujara wọn. Loju opo Instagram rẹ, gbajugbaja osere tiata kan, Odunlade Adekola lo kọkọ kede oku oloogbe naa, to si ni ko sun re.",1
"Haa,o ma se,iku mu eni re lo,Woli Oluwatobiloba Adejoke Ewatomi Ajibulu ti re wale asa,ma sun ko si ma sinmi laya olugbala,Afe o sugbon Kristi fe o juwa lo.",1
"OBO LILA, IBEERE ATI IDAHUN, ORO LORI ISO RA ENI PO",1
Ọjọ́ lọjọ́ tí mo mọ̀ pé wọ́n bí mi láì ní ojú ara obìnrin àti ilé ọmọ',1
Mo mo ogbeni naa. O ma n ko wa ni St. James,0
"mi run, nwọn lagbara: nigbana ni mo san ohun ti emi kò mu. 5 Ọlọrun, iwọ mọ̀ wère mi, ẹ̀ṣẹ mi kò si lumọ kuro loju rẹ. 6 Oluwa, Ọlọrun awọn ọmọ-ogun, máṣe jẹ ki oju ki o tì awọn ti o duro de ọ nitori mi: máṣe jẹ ki awọn ti nwá ọ ki o damu nitori mi, Ọlọrun Israeli. 7 Nitoripe nitori tirẹ li emi ṣe nrù ẹ̀gan; itiju ti bo mi loju. 8 Emi di àjeji si awọn arakunrin mi, ati alejo si awọn ọmọ iya mi. 9 Nitori ti itara ile rẹ ti jẹ mi tan; ati ẹ̀gan awọn ti o gàn ọ, ṣubu lù mi. 10 Nigbati mo sọkun, ti mo si nfi àwẹ jẹ ara mi ni ìya, eyi na si di ẹ̀gan mi. 11 Emi fi aṣọ ọ̀fọ sẹ aṣọ mi pẹlu: mo si di ẹni-owe fun wọn. 12 Awọn ti o joko li ẹnu-bode nsọ̀rọ si mi; emi si di orin awọn ọmuti. 13 Ṣugbọn bi o ṣe ti emi ni,",0
Baba gbaju-gbaja osere 'binrin Mercy Aigbe se alaisi ni ale ana.,1
Awon asewo to je onise ale po ni Pen Cinema ,1
Bruce ni ọ̀rẹ́ wọlé wọde ni òun àti Kasamu kó tó jẹ́ Ọlọ́run nípè.Ó ròyìn ẹ̀ pé èèyàn rere ni àti pé ikú olóògbé náà jẹ́ ìmọ̀lára fún òun.O gbàá ládùúrà pé kí Ọlọ́run fáànù gbàá.,1
Eka ede wo ni o sunmo Yoruba ajumolo julo? ,0
Baba mi je dokita ile iwosan ti o wa ni ilu Iperu,0
Gbogbo iranu yi o ba mi l'ara mu rara,0
"Ara iwa ibaje ni, oko to fun ni omo, ko wa ma ba ni ajo̩sepò",1
Alága ìdúró mú ohùn mi lọ lójú agbo tí mo tí ṣe alága ìjókòó l‘Amẹ́ríkà - Bukola Alphonso-Olanrewaju,0
Bayo n se bi eni to ti ro efo ife fun je,1
O dara ki okunrin mo ebi iyawo e,0
Òṣìṣẹ́ tó tú àṣírí ilé asòfin rugi oyin,1
mo ma se aseyori nile aye yii ,0
"Nnkan bii aago meji oru ọjọ naa, lẹyin tawọn eeyan ti sun wọra lo ni iya agba yii ko ihá jọ, lẹyin eyi lo lọọ gbe galọọnu epo bẹntiroolu tí ọmọ rẹ da sinu jẹnẹretọ ku, n lo ba da a sara awọn ohun eelo idana ọhun, o si ṣana si i.",0
Baba yen mo mi nigba ti mo juwe ara mi fun won,0
Aarẹ rinrin ajo naa lati lọ gba itọju fun agọ ara rẹ.,0
Iya mi lo maa n ro mi lagbara nigbakuugba ta a ba fẹẹ lọọ digunjale,0
"Eyi lo mu ki gbajumọ osere tiata kan lagbo awọn osere lede Yoruba, Toyin Adegbola, ti ọpọ eeyan mọ si Toyin Asewo to re Mecca, fi yari nile itaja igbalode kan, ShopRite to wa ni Ring Road nilu Ibadan.",1
"Chikamnayo sọ pe ijọba ipinlẹ Abia ti gbọ irufẹ iṣẹlẹ bẹẹ nile itura ọhun, paapaa lagbegbe ibi ti 'swimming pool' ile itura naa wa.",0
"Ìgbéyàwó mi ti súnmọ́, mò ń wá bàbá mi",0
"Gbogbo awọn ọmọ ilẹ kaarọ, o jiire, lo ti n sẹ lede lẹyin Alaafin ilu Oyo, to waja, Oba Lamidi Adeyemi.",1
Kii ṣe ohun itiju ki abẹ dun obinrin lasiko ibalopọ:,1
"O fi kun un ninu àlàyé rẹ pé, nígbà tí òun kò gbà fún ún láti ni ajosepo pelu òun, ìbínú náà lo mú ṣá gbogbo ara òun báyìí.",1
"Ṣa, iṣẹ iwadii ti n tẹsiwaju lori awọn alọ-kolohun-kigbe ẹda yii, gẹgẹ bi Ọga agba ikọ RRS, CSP Ọlayinka Ẹgbẹyẹmi, ṣe sọ ninu atẹjade kan, o ni wọn ti taari wọn si ẹka ileeṣẹ ọlọpaa to n tọpinpin lati ṣewadii kunnakunna, ibẹ si ni wọn maa gba dele-ẹjọ laipẹ, ati pe gbogbo awọn to sa lọ ninu awọn ti wọn jọ n ṣiṣẹẹbi ọhun lawọn maa tọpasẹ wọn lati mu wọn, gẹgẹ bii Kọmiṣanna ọlọpaa Eko, Abiọdun Alabi, ṣe paṣẹ.",1
"Nigba ti mo se alabapade oko mi yii ni iwon bi odun meewa seyin, mo mo daju wipe iru okunrin ti mo nife si niyi lati fi se ade ori, tori wipe mo gbadun ere ife ti akoko jo se de bi gee, o temi lorun gidi gan-an ni ni ale ojo ti mo n so yii.",1
"""Awoͅn eniyan n sͅe ipolowo ile ọmọ tita lori ayelujara ati afihan aworan rẹ lori titi, ti woͅn a si fi noͅmba woͅn sibeͅ""",1
"Bi o ṣe ti wa ni, oju wa nwọ̀na siwaju ati siwaju, fun iranlọwọ wa ti o jẹ asan: lori ile-iṣọ wa, awa nwọ̀na fun orilẹ-ède, ti kò le ràn ni lọwọ. 18 Nwọn dẹkun si ipa ọ̀na wa, ti awa kò le rìn ita wa: opin wa sunmọ tosi, ọjọ wa pé; nitori opin wa de. 19 Awọn ti nlepa wa yara jù idì ọrun lọ: nwọn nlepa wa lori oke wọnni, nwọn bà dè wa li aginju. 20 Ẽmi iho imu wa, ani ẹni-ororo Oluwa, ni a mu ninu ọ̀fin wọn, niti ẹniti awa wipe, labẹ ojiji rẹ̀ li awa o ma gbé lãrin awọn orilẹ-ède. 21 Yọ̀, ki inu rẹ si dùn, iwọ ọmọbinrin Edomu, ti ngbe inu ilẹ Usi; sibẹ ago na yio kọja sọdọ rẹ pẹlu: iwọ o si yo bi ọ̀muti, a o si tu ọ ni ihoho. 22 A mu aiṣedede rẹ kuro, iwọ ọmọbinrin Sioni: on kì o si tun mu ọ lọ si",0
"Lọjọ Aiku, Sannde, ọjọ kẹrinlelogun, oṣu Keje, ọdun 2022, lọba nla to jẹ igbakeji alaga igbimọ awọn lọbalọba ipinlẹ Ọyọ dakẹ sileewosan University College Hospital, UCH, n’Ibadan. O to bii oṣu meloo kan ti ojojo ti n ṣogun Ọba Adekunle, lati bii ọsẹ meji ni wọn ti da a duro si UCH, kọlọjọ too de ba a nibẹ lọsan-an ọjọ Aiku.",1
"Eyin agba mo be yin o, mi o shako",1
"Bo tilẹ jẹ pr ko tii si aridaju rẹ, awọn idi to pọ wa pe o ṣee ṣe ki abẹrẹ naa maa mu iyatọ ba nkan oṣu obinrin ṣugbọn eyi kii ṣe ohun to yẹ ko da iporuru ọka silẹ. Awọn onimọ ipa ibimọ lo sọ bẹẹ.",1
"Bí àpẹẹrẹ, Bíbélì sọpé tí ọkùnrin tó ti gbéyàwó bá ń “bá a nìṣó ní wíwo obìnrin kan” tí kì í ṣe aya rẹ̀, tó sì ń wù ú pé kó bá a lò pọ̀, ó lè mú kó ṣe panṣágà. Ìlànà Bíbélì yìí kan gbogbo ẹni tó ti lọ́kọ tàbí aya àtàwọn tí kò tí ì ṣègbéyàwó. Tó bá ń “bá a nìṣó ní wíwo” àwòrán ìṣekúṣe, tó sì ń wù ú pé kó ní ìbálòpọ̀ tí kò tọ́, ìwà tí inú Ọlọ́run kò dùn sí ló ń hù yẹn.",1
Ẹyin obìnrin.. Se e lé gba kí ọkùnrin do ihò ìdí yín ,0
“Iya Ibeji n gbe mi sepe pe owo ti mo fi ransẹ kere”. Baba Ibeji ni oun n san owo si akanti iya ibeji amọ epe lo n fi ransẹ si oun pe owo naa kere.,0
"Ọmọ bibi ijọba ibilẹ Guma, nipinlẹ Nassarawa, ni wọn, ṣugbọn agbegbe ijọba ibilẹ Awe, lawọn atawọn obi wọn n gbe lati kekere, iṣẹ oko ni wọn si n ṣe. Ọdun 2013 niṣẹlẹ aburu kan ṣẹlẹ, nigba tawọn Fulani darandaran ṣakọlu sawọn eeyan agbegbe naa ninu oko wọn, wọn pa ọpọ eeyan, awọn obi Taye-Kẹyin yii si wa lara awọn to doloogbe, koda ori lo ko awọn ibeji naa yọ tori awọn ẹgbọn wọn naa wa lara awọn to ku pẹlu, ni wọn ba dọmọ orukan latigba naa.",1
Mama Rebecca Shode ti sun ninu Oluwa,1
"Alukoro ileeṣẹ ọlọpaa Naijiria, Ọmọọba Muyiwa Adejọbi ni iwoye awọn agbofinro fihan pe ọpọ awọn to n ṣe iwọde lawọn ilu kaakiri nipa inira ọwọngogo owo naira yii ni o n ṣe bẹẹ nitori ati le ji nnkan tabi hu iwa ipa lati ṣe afọwọra ohun ti kii ṣe tiwọn.",1
onishina ni Bobo yi sha .,1
"Se iwo nikan lo ma koko nife eyan ni, abi omo yen ti ro efo fun e je?",1
"Ti won ba fi iye adiye si ehinkule okunrin, Won n ki lo fun pe ki ojawo ninu ajosepo pelu obinrin olobinrin.",1
Biola ti je isu oosa,1
‘’Mi o tilẹ mọ pe ko ni nira rara lati ri eͅni ti yoo ta ile oͅmoͅ reͅ fun awoͅn ti woͅn ba feͅ ya a lo lati bimoͅ’’,1
Ọkọ́ mi ko raye wọle soju ara mi lati ja ibale mi lẹyin osu kan ta se igbeyawo – Obinrin to ni aisan Vaginismus,1
" Awon iwe re ti di ere to po ju 200, ton lo ni ore ede to ju 100. ",0
"Awọn obinrin yẹ ki o ṣe iwadii aarun igbaya aarun igbaya, bi akàn igbaya jẹ iru aarun obinrin ti o wọpọ julọ. Awọn ibeere akoko Apapọ ipari gigun ti ilu okeere Akoko ti o lo ni ita yoo dale lori itọju naa.",1
Iya mi Yemoja!,1
"Nigba to n sọrọ lori ile tuntun naa, Iya Ibeji Omo Arayele to mu ijo jo lasiko ayẹyẹ ile sisi naa, wa n fi gbogbo ogo fun Ọlọrun to fun oun nile naa.",0
Iléeṣẹ́ ìròyìn Chris Oyakhilome rugi oyin lórí ọ̀rọ̀ 5G,1
"Gbajugbaja osere tiata nni, Toyin Adegbola, ti ọpọ eeyan mọ si Asewo to re Mecca ti sọrọ sita lori ẹsun ibanilorukọjẹ ti wọn fi kan ọmọ rẹ. BBC Yoruba kan si osere tiata naa lati mọ hulẹhulẹ isẹlẹ to kan ọmọ rẹ nile itaja Shoprite to wa ladugbo Ring Road nilu Ibadan naa lalẹ ọjọ Satide.",1
Bawo la se le pa awon efon ti won kii je ka rorun sun?,0
won ti mo ra won lale igbeyawo won,1
Kilode Ti Ariwo Dido 🥒👉👌💦 Oko Ati Obo👌Wa Gba Aye Kan Bayi,1
"Nigba to n sọ ohun to mọ nipa oloogbe ati isesi rẹ loke eepẹ, ọga Bello ni ""ọmọ daadaa ni Dejo Tunfulu.",1
Ejo talomon obo do daada ninu group yi,1
Nigba ti won de ile iwosan ni won gbo pe Baba ti dá gbére fun ayè ,1
"O ma ṣe o, ijamba ọkọ gbẹmi eeyan mẹrinla n’Ipetu-Ijeṣa",1
Abẹ́ tabili yen ni mo fi owo ti iya agba fun mi ,0
"Ọgbẹni Olawale gba 250,000 lati ọdọ mi ko wa si kootu fun igbọran arakunrin mi. Ẹjọ yii waye lati Oṣu Kẹjọ ọdun 2019 ati Ọgbẹni Olawale gba owo mi ko ṣe nkankan.",0
"Ọkan lara mọlẹbi oloogbe naa to ba BBC Yoruba sọrọ, Ope Afuye, ti ọpọ mọ si Ọpẹ Age lo wa pẹlu olóògbé naa ki ọlọjọ to de.",1
Wọn si le e jẹ ọkan ejo naa pẹlu ẹjẹ ejo tabi oti waini Vodka.,0
Ohun atijọ ni ki a fi ọṣẹ fọ abẹ,1
Kinni nba fi san ore re T'o po bi iyanrin eti okun?  Ona ope mi po o Baba Emi yo yin o titi aye,0
ko da ki obinrin ma wo aso to si igba aya won,1
"Alaaji Yẹkini Oyedele tawọn eeyan mọ si Baba Lẹgba ti papoda laaarọ oni, Mọnde, ọjọ keje, oṣu kẹsan-an, ọdun 2020.",1
Igo ororo yen ti fo nigba ti tabili yen subu,0
Inu irora yii ni Obìnrin náà wa titi ti o fi dáke,1
Oya eje ka sere bi toko tiyawo ki eyin OBINRIN soro tole fa ibinu si awa oko yin kawa na ma fun yin lesi pada oya ooo,1
ema je ka gungi re koja ewe oo,1
"Lawọn atẹjade kan ti NNPCL fi sita laipẹ yii, Mele Kyari tẹnumọ pataki jijara mọ akanṣe iṣẹ naa, nitori bi agbaye ṣe n fi kuro ni ẹka epo rọbi eleyi to ti n mu adinku ba idokoowo lẹka epo rọbi.",0
"“Lọjọ Isinmi, ọmọ iya agba naa ati iyawo rẹ jade laye nigba ti ọmọ kan ṣoṣo to ku wa ni ẹsẹ kan aye ẹsẹ kan ọrun.”",0
"Bó o bá ń gba ẹnu ní ìbálòpọ̀, wo àìsàn tó o lè kó lójú ara rẹ",0
